text,summary
<page_title> Len Hutton </page_title> <section_title> External links </section_title> <table> <cell> World Record - Highest individual score in Test cricket 364 v. Australia at The Oval 1938 <header> Records </header> </cell> </table>,Len Hutton set a record in 1938 for the highest individual innings in a Test match.
<page_title> Banana Pi </page_title> <section_title> Banana Pi BPI-M2 Zero </section_title> <table> <cell> 1 (direct from Allwinner H2+ chip) </cell> <cell> 512MB DDR3 </cell> <cell> H2+ ARM Cortex -A7 quad-Core </cell> </table>,"Banana Pi's Key Features: CPU: Allwinner H2+, Quad-core Cortex-A7 and 512 MB DDR3 memory."
<page_title> Neal McDonough </page_title> <section_title> Film </section_title> <table> <cell> 2011 <header> Year </header> </cell> <cell> Captain America: The First Avenger <header> Year </header> </cell> <cell> Dum Dum Dugan <header> Title </header> </cell> </table>,"In 2011, McDonough played the role of Dum Dum Dugan in the film Captain America: The First Avenger."
<page_title> Demographics of Chad </page_title> <section_title> Population </section_title> <table> <cell> 2.9 <header> Population aged 65+ (%) </header> </cell> <cell> 2010 <header>  </header> </cell> <cell> 45.4 <header> Population aged 0-14 (%) </header> </cell> <cell> 51.7 <header> Population aged 15-64 (%) </header> </cell> </table>,"The proportion of children below the age of 15 in 2010, was 45.4%, 51.7% was between 15 and 65 years of age, while 2.9% was 65 years or older."
<page_title> List of legendary kings of Britain </page_title> <section_title> Kings derived from Geoffrey of Monmouth </section_title> <table> <cell> Gracianus Municeps <header> Cornwall </header> <header> England </header> <header> Kingdom </header> <header> Scotland </header> <header> Wales </header> </cell> </table>,"Gracianus Municeps was a legendary King of Britain, according to Geoffrey of Monmouth."
"<page_title> Fountain Run, Kentucky </page_title> <section_title> Demographics </section_title> <table> <cell> 2000 <header> Census </header> <header> Historical population </header> </cell> <cell> 236 <header> Historical population </header> <header> Pop. </header> </cell> </table>","As of the census of 2000, there were 236 people residing in the Fountain Run city."
<page_title> List of World Heritage sites in Montenegro </page_title> <section_title> World Heritage sites </section_title> <table> <cell> 1979 <header> Natural and Culturo-Historical Region of Kotor </header> <header> Year listed </header> </cell> <cell> Natural and Culturo-Historical Region of Kotor <header> Site </header> </cell> </table>,"In 1979, the Natural and Culturo-Historical Region of Kotor site was listed as a World Heritage site in Montenegro."
<page_title> Nivedita Tiwari </page_title> <section_title> Filmography </section_title> <table> <cell> &TV <header> Channel </header> </cell> <cell> Bhagonwali-Baante Apni Taqdeer <header> Title </header> </cell> <cell> Gangaa <header> Title </header> </cell> <cell> Runjhun <header> Role </header> </cell> <cell> Supriya Pulkit Chaturvedi <header> Role </header> </cell> <cell> Zee TV <header> Channel </header> </cell> </table>,Nivedita Tiwari is known for her role as Runjhun in Zee TV's Bhagonwali-Baante Apni Taqdeer and as Supriya on &TV's Gangaa.
<page_title> Nithya Shetty </page_title> <section_title> Filmography </section_title> <table> <cell> 2000 <header> Year </header> </cell> <cell> Chinni Chinni Aasa <header> Film </header> </cell> <cell> Devullu <header> Film </header> </cell> <cell> Little Hearts <header> Year </header> </cell> <cell> Nandi Award for Best Child Actress <header> Notes </header> </cell> <cell> Nandi Award for Best Child Actress <header> Language </header> </cell> <cell> Telugu <header> Language </header> </cell> <cell> Telugu <header> Language </header> </cell> <cell> Telugu <header> Role </header> </cell> </table>,"Nithya Shetty worked as a child actress in Telugu films, including Devullu (2000), while winning the Nandi Award for Best Child Actress for her roles in Chinni Chinni Aasha and Little Hearts (2000)."
<page_title> List of Tamil films of 2001 </page_title> <table> <cell> Krishna Krishna <header> Opening </header> </cell> <cell> S. V. Sekhar <header> Opening </header> </cell> </table>,Krishna Krishna is a 2001 Tamil film directed by S. V.
<page_title> City of Chester (UK Parliament constituency) </page_title> <section_title> MPs since 1885 </section_title> <table> <cell> 2015 <header> Election </header> </cell> <cell> Chris Matheson <header> Member </header> </cell> <cell> Labour <header> Party </header> </cell> </table>,Chris Matheson of the Labour Party won the seat in 2015.
<page_title> Small Faces (1967 album) </page_title> <section_title> Chart positions </section_title> <table> <cell> 178 <header> Peak position </header> </cell> </table>,The Small Faces album reached number 178 on Billboard 200.
<page_title> Rihanna (Orezi song) </page_title> <section_title> Accolades </section_title> <table> <cell> 2013 <header> Year </header> </cell> <cell> Best Dance Hall/Reggae Video <header> Award description(s) </header> </cell> <cell> Nigeria Music Video Awards <header> Awards ceremony </header> </cell> <cell> Won <header> Results </header> </cell> </table>,"The music video ""Rihanna"" won Best Dance Hall/Reggae Video at the 2013 Nigeria Music Video Awards."
<page_title> Vanessa Kirby </page_title> <section_title> Film </section_title> <table> <cell> 2013 <header> Year </header> </cell> <cell> About Time <header> Title </header> </cell> <cell> Joanna <header> Role </header> </cell> </table>,"In 2013, Vanessa Kirby starred as Joanna in About Time."
<page_title> Stefano Coletti </page_title> <section_title> Career summary </section_title> <table> <cell> 2008 <header> 2005 </header> <header> 2006 </header> <header> 2007 </header> <header> Season </header> </cell> <cell> Formula 3 Euro Series <header> 2008 </header> <header> Series </header> </cell> <cell> Signature-Plus <header> 2008 </header> <header> Team </header> </cell> </table>,"Coletti moved up to the Formula 3 Euro Series for the 2008 season, joining the French Signature-Plus team."
<page_title> Guam at the 2013 World Championships in Athletics </page_title> <section_title> Men </section_title> <table> <cell> 11.39 <header> Preliminaries </header> <header> Time </header> </cell> <cell> Did not advance <header> Final </header> <header> Heats </header> <header> Rank </header> <header> Rank </header> <header> Semifinals </header> <header> Time </header> <header> Time </header> </cell> <cell> Michael Alicto <header> Athlete </header> <header> Time </header> </cell> </table>,"At the World Championships, Alicto finished his preliminary heat with a time of 11.39 seconds, which did not advance him."
<page_title> Masaki Ogawa </page_title> <section_title> Club statistics </section_title> <table> <cell> 2000 <header> Club performance </header> <header> Japan </header> <header> Season </header> </cell> <cell> J2 League <header> Club performance </header> <header> Japan </header> <header> League </header> </cell> <cell> Shonan Bellmare <header> Club </header> <header> Club performance </header> <header> Japan </header> </cell> </table>,"In 2000, Masaki Ogawa joined J2 League club Shonan Bellmare."
<page_title> Danny Shittu </page_title> <section_title> Club </section_title> <table> <cell> 2007-08 <header> Club </header> <header> Division </header> <header> Total </header> <header> Total </header> <header> Total </header> </cell> <cell> 9 <header> 0 </header> <header> 16 </header> <header> 2 </header> <header> Total </header> </cell> <cell> Championship <header> Apps </header> <header> Season </header> <header> Total </header> <header> Total </header> <header> Total </header> </cell> <cell> Watford <header> Club </header> <header> Division </header> <header> Total </header> <header> Total </header> <header> Total </header> </cell> </table>,"In the 2007-08 season with Watford, Shittu scored 9 goals in the Championship."
<page_title> Josie Lawrence </page_title> <section_title> Filmography </section_title> <table> <cell> 2006 <header> Year </header> </cell> <cell> Phoebe Huntley <header> Film </header> </cell> <cell> The Complete Guide to Parenting <header> Year </header> </cell> </table>,"In 2006, Josie Lawrence starred in The Complete Guide to Parenting as Phoebe Huntley."
"<page_title> 2003 in King of the Cage </page_title> <section_title> Events list </section_title> <table> <cell> December 6, 2003 <header> Date </header> </cell> <cell> KOTC 31: King of the Cage 31 <header> Event Title </header> </cell> <cell> San Jacinto, California <header> Location </header> </cell> <cell> Soboba Casino <header> Arena </header> </cell> </table>","KOTC 31: King of the Cage 31 was an event held on December 6, 2003 at the Soboba Casino in San Jacinto, California."
<page_title> Mid Staffordshire (UK Parliament constituency) </page_title> <section_title> Members of Parliament </section_title> <table> <cell> 1983 <header> Election </header> </cell> <cell> Conservative <header> Party </header> </cell> <cell> John Heddle <header> Member </header> </cell> <cell> Previously MP for Lichfield and Tamworth from 1979; committed suicide December 1989 <header> Notes </header> </cell> </table>,"In Mid Staffordshire (UK Parliament constituency), at the 1983 general election, the seat was won by John Heddle of the Conservative Party, who had previously represented the Lichfield and Tamworth constituency."
"<page_title> Westfield, Pennsylvania </page_title> <section_title> Demographics </section_title> <table> <cell> 1,190 <header> Historical population </header> <header> Pop. </header> </cell> <cell> 2000 <header> Census </header> <header> Historical population </header> </cell> </table>","As of the census of 2000, there were 1,190 people."
<page_title> Mostafa Zamani </page_title> <section_title> Television </section_title> <table> <cell> 2008 <header> Year </header> </cell> <cell> Prophet Joseph <header> Title </header> </cell> </table>,Mostafa Zamani made his debut in 2008 with Prophet Joseph.
"<page_title> List of 30 Rock episodes </page_title> <section_title> Season 3 (2008-09) </section_title> <table> <cell> ""The Ones"" <header> 55 </header> <header> Title </header> </cell> <cell> 19 <header> 55 </header> <header> No. in season </header> </cell> </table>","""The Ones"" is the nineteenth episode of the third season of the series 30 Rock."
"<page_title> List of lieutenant governors of Rhode Island </page_title> <section_title> Lieutenant Governors under the constitution, 1843-present </section_title> <table> <cell> 1892 <header> Term Start </header> </cell> <cell> 1894 <header> Term End </header> </cell> <cell> D. Russell Brown <header> Governor(s) served under </header> </cell> <cell> Melville Bull <header> Name </header> </cell> </table>",Melville Bull served as Lieutenant Governor of Rhode Island from 1892 to 1894 under Governor D. Russell Brown.
"<page_title> Dexter, Iowa </page_title> <section_title> Demographics </section_title> <table> <cell> 2010 <header> 1880 </header> <header> 1890 </header> <header> 1900 </header> <header> 1910 </header> <header> 1920 </header> <header> 1930 </header> <header> 1940 </header> <header> 1950 </header> <header> 1960 </header> <header> 1970 </header> <header> 1980 </header> <header> 1990 </header> <header> 2000 </header> <header> Historical populations </header> <header> Year </header> </cell> <cell> 611 <header> 2010 </header> <header> Historical populations </header> <header> Pop. </header> </cell> </table>","In Dexter, the population was 611 at the 2010 census."
"<page_title> Banga, Aklan </page_title> <section_title> Barangays </section_title> <table> <cell> 39,505 <header> 2015 </header> <header> Population </header> </cell> </table>","In the 2015 census, Banga had a population of 39,505."
<page_title> H. W. Withers </page_title> <section_title> Football </section_title> <table> <cell> 1906 <header> Year </header> </cell> <cell> 2-6 <header> Overall </header> </cell> <cell> William & Mary <header> Team </header> </cell> </table>,"Withers was with William & Mary in 1906, finishing 2-6."
<page_title> Caroline Burke </page_title> <section_title> Filmography </section_title> <table> <cell> 1942 <header> Year </header> </cell> <cell> Martha Kincaid <header> Role </header> </cell> <cell> Only starring role <header> Notes </header> </cell> <cell> Rhapsody in Blue <header> Title </header> </cell> <cell> Silent Witness <header> Title </header> </cell> <cell> Spy Train <header> Title </header> </cell> <cell> The Mysterious Rider <header> Title </header> </cell> </table>,"Burke appeared in a total of four films, with her first and only leading role as Martha Kincaid in The Mysterious Rider (1942)."
"<page_title> Nickel Ashmeade </page_title> <section_title> Achievements </section_title> <table> <cell> 2016 Olympic Games <header> Competition </header> <header> Representing Jamaica </header> </cell> <cell> Rio de Janeiro, Brazil <header> Representing Jamaica </header> <header> Venue </header> </cell> </table>","Ashmeade represented Jamaica in the 2016 Olympic Games in Rio de Janeiro, Brazil."
<page_title> 1989-90 San Antonio Spurs season </page_title> <section_title> Regular season </section_title> <table> <cell> 12.0 <header> RPG </header> </cell> <cell> 24.3 <header> PPG </header> </cell> <cell> David Robinson <header> Player </header> </cell> </table>,David Robinson finished the season with 24.3 points and 12.0 rebounds per game.
<page_title> Antiochus VIII Grypus </page_title> <section_title> External links </section_title> <table> <cell> Seleucid King (King of Syria) 125-96 BC with Cleopatra Thea (126-121/3 BC) </cell> </table>,Antiochus VIII Grypus was the ruler of the Syrian Seleucid Empire from 125 to 96 BC.
